1141926795,"{10636123989,10636123988}","{barrier,wall}"
2987944,"{14182829,14182842,14182852,14182859,14182871,14182872,14182877,14182880,14182882,14182883,14182884,14182891,14182894,14182902,14182908,14182909,14182913,14182918,14182924,14182931,14182939,14182949,14182962,14182973,14182978,14182980,14182981,14182983,14182985,14182987,14182993,14183005,14183022,14183031,14183041,14183052,14183076,14183085,14183099,14183108,14183127,14183144,14183153,14183162,14183169,14183183,14183192,14183217}","{natural,coastline,source,PGS}"
2987960,"{213429,1760425230}","{alt_name,""The High"",cycleway:both,lane,cycleway:both:lane,advisory,designation,primary,hgv,designated,highway,tertiary,lanes,2,lcn:left,lane,lcn:right,lane,lit,yes,maxspeed,""20 mph"",mcn,oxford,name,""High Street"",name:ja,ハイ・ストリート,ncn:quiet,no,note,""Tagged highway=tertiary per local consensus. Please consult the OSM wiki page linked below and discuss on the community forum or talk-GB before changing highway tagging.

Wiki page:
https://wiki.openstreetmap.org/wiki/Roads_in_the_United_Kingdom"",ref,A420,sidewalk,separate,source,"";Oxford City Council/Oxfordshire County Council Transport publications;site surveys"",surface,asphalt,through_route,yes}"
2987963,"{457416518,915435687,9178165829,2962955252,457416519}","{bicycle,no,foot,yes,highway,steps,incline,down,motorcar,no}"
2987976,"{441094,3669237167,12559077029,306285638,441089,441090,1642952913,257893713,4096921821,1642952912}","{cycleway:both,no,highway,residential,lit,yes,maxspeed,""20 mph"",name,""Rose Lane"",sidewalk,right,surface,asphalt}"
2987977,"{257893713,301743675,1585274172,12559077019,441092,1585303603,12559077026,441093,1585274178,441090}","{access,private,bicycle,private,foot,private,highway,service,motorcar,private}"
2987985,"{14183217,14183228,14183248,14183255,14183257,14183261,14183263,14183265,14183272,14183273,14183275,14183277,14183280,14183282,14183283,14183284,14183286,14183289,14183290,14183291,14183293,14183295,14183296,14183299,14183301,14183303,14183306,14183308,14183311,14183498,14183499,14183502,14183507,14183509,14183513,14183518,14183536,14183541,14183550,14183561,14183567,14183573,14183579,14183580,14183583,14183585,14183590,14183596,14183604,14183627,14183633,14183639,14183646,14183653,14183664,14183674,14183685,14183689,14183697,14183707,14183717,10583855152,14183727,14183735,14183746,14183761,14183770,14183785,3179380070,14183801,14183817,14183832,14183838,14183844,3216690636,14183851,14183858,14183866,14183880,14183896,14183897,14183911,14183913,14183915,14183917,14183923,14183925,14183928,14183936,14183937,14183938,14183940,14183941}","{natural,coastline,source,PGS}"
2987986,"{213429,1298333979,1760425232,1298324213,455894044,451072868}","{cycleway:left,no,cycleway:right,lane,cycleway:right:lane,advisory,highway,tertiary,lanes,2,lit,yes,maxspeed,""20 mph"",mcn,oxford,name,""Longwall Street"",sidewalk,both,surface,asphalt,through_route,yes}"
2987987,"{259202200,312915802,5369430364,1295287099,259418859,379755405,259418860,369920,383963839,379755402,9284348928,379755462,344339313,380332156,259420647,259417759,380824343,338643085,369869,338643251,338642569}","{cycleway,lane,cycleway:left,lane,cycleway:left:width,1.25,cycleway:right,lane,cycleway:right:width,1.25,highway,tertiary,lit,yes,maxspeed,""20 mph"",mcn,oxford,name,""St Cross Road"",sidewalk,both,surface,asphalt,through_route,yes}"
2987999,"{441171,12139517653,3469947896}","{access,no,access:note,""The \""and authorized vehicles\"" box on the sign turns out to mean \""exempt emergency vehicles\"" only: https://www.oxfordshire.gov.uk/residents/roads-and-transport/parking/parking-and-bus-gate-fines/bus-lanes-and-bus-gates is really explicit about it."",alt_name,""The High"",bus,designated,cycleway,separate,description,""High Street use daytime use restriction"",designation,primary,emergency,designated,foot,yes,highway,tertiary,lit,yes,maxspeed,""20 mph"",mcn,oxford,motor_vehicle,no,motor_vehicle:conditional,""yes @ (18:30-07:30)"",name,""High Street"",note,""Tagged highway=tertiary per local consensus. Please consult the OSM wiki page linked below and discuss on the community forum or talk-GB before changing highway tagging.

Wiki page:
https://wiki.openstreetmap.org/wiki/Roads_in_the_United_Kingdom"",psv,designated,ref,A420,sidewalk,separate,source,""Oxford City Council/Oxfordshire County Council Transport publications;site surveys"",source:access,https://www.oxfordshire.gov.uk/residents/roads-and-transport/parking/parking-and-bus-gate-fines/bus-lanes-and-bus-gates,surface,asphalt,taxi,designated}"
